Task ID,Task_Name,Task_Description,Attribute-Based Criteria,Rel_Genre,Factor,Reward (Virtual Coins),Frame
25,Celeb Filmography,Watch three movies starring the same actor/actress in one week.,User explored movies featuring a specific actor/actress.,Neutral,Actor/Actress,50,Weekly
26,Fantasy Escapade,Watch two fantasy or sci-fi movies back-to-back today.,User enjoyed a double feature of fantasy or sci-fi films.,Neutral,Neutral,40,Daily
27,Mystery Marathon,Watch four mystery movies in a week.,User watched multiple mystery films this week.,Mystery,Genre,70,Weekly
28,Romantic Flick Fiesta,Watch five romantic movies within three days.,User enjoyed a romantic movie marathon.,Romance,Genre,80,Weekly
29,Cross-Cultural Journey,Watch a movie from each continent in one week.,User explored global cinema from different continents.,Neutral,Continent,100,Weekly
30,Legendary Director's Cut,Watch the extended director's cut of a classic movie.,User experienced the extended version of a classic film.,Classic,Director,50,Daily
31,Box Office Guru,Watch the top-grossing movie of the week.,User watched the highest-grossing movie this week.,Neutral,Neutral,50,Weekly
32,Historical Drama Explorer,Watch three historical drama movies or episodes in a week.,User enjoyed historical drama content this week.,Historical Drama,Genre,60,Weekly
33,Animated Adventure,Watch three animated movies or episodes in a week.,User explored animated content this week.,Animation,Genre,50,Weekly
34,Midnight Movie Madness,Watch a movie late at night (after midnight).,User watched a movie during the late hours.,Neutral,Neutral,30,Daily
35,Sci-Fi Fantasy Frenzy,Watch two sci-fi and two fantasy movies in a week.,User enjoyed a mix of sci-fi and fantasy films.,Sci-Fi/Fantasy,Genre,70,Weekly
36,Bollywood Bonanza,Watch three Bollywood movies in a week.,User explored Bollywood cinema this week.,Bollywood,Genre,60,Weekly
37,Documentary Deep Dive,Watch five documentaries in a week.,User delved into documentary content this week.,Documentary,Genre,80,Weekly
38,Star Wars Saga,Watch all Star Wars movies in chronological order.,User experienced the Star Wars saga from start to finish.,Sci-Fi,Franchise,100,Weekly
39,Cinematic Homage,Watch a movie that pays homage to another classic film.,User explored movies that pay tribute to classics.,Classic,Neutral,50,Daily
40,Superhero Spectacle,Watch three superhero movies or episodes in a week.,User enjoyed superhero-themed content this week.,Superhero,Genre,70,Weekly
41,International Mystery Mixer,Watch mystery movies from at least five different countries.,User explored international mystery films.,Mystery,Genre,90,Weekly
42,Small Screen Sensation,Watch a full TV series season in a day.,User completed watching an entire TV season in one sitting.,Series,Neutral,150,Daily
43,Musical Melody,Watch three musical movies or episodes in a week.,User explored musical-themed content this week.,Musical,Genre,50,Weekly
44,Art House Adventure,Watch three art house or independent films in a week.,User explored art house cinema.,Art House,Genre,60,Weekly
45,Animated Family Fun,Watch four animated family-friendly movies in a week.,User enjoyed animated content suitable for families.,Animation,Genre,70,Weekly
46,Guilty Pleasure Movie,Watch a movie that you secretly enjoy but may not admit in public.,User indulged in a guilty pleasure movie.,Neutral,Neutral,40,Daily
47,Conspiracy Theory Flick,Watch a movie centered around a conspiracy theory.,User explored movies with conspiracy-related themes.,Neutral,Neutral,40,Daily
48,Time Travel Tale,Watch a movie or episode involving time travel.,User enjoyed content related to time travel.,Sci-Fi,Neutral,50,Daily
49,Fan Theory Investigator,Watch movies based on fan theories related to a popular franchise.,User explored fan theories through films.,Neutral,Franchise,60,Weekly
50,War Film Weekender,Watch three war movies over the weekend.,User explored movies set during wartime.,War,Genre,70,Weekly
